License Number,Business Name,DBA/Trade Name,Business Unique ID,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,Details,Contact Phone,Address Type,Building Number,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,ZIP Code,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude
1263704-DCA,MP UPTOWN LLC.,,BA-1401721-2022,Garage & Parking Lot,Premises,Active,08/09/2007,03/31/2025,Vehicle Capacity: 360; Bicycle Capacity: 22,2122810698,Complete Address,3333,BROADWAY,,,,,MANHATTAN,NY,10031,Manhattan,,,1000000.0,1020019005.0,,,,40.83352755393137,-74.01746864867712
2022937-DCA,SP PLUS CORPORATION,,BA-1558438-2022,Garage & Parking Lot,Premises,Voided,05/18/2015,03/31/2025,Vehicle Capacity: 112; Bicycle Capacity: 11,2123217542,Complete Address,8,WEST   29 STREET,,,,,NEW YORK,NY,10001,Manhattan,105.0,4.0,1090931.0,1008300032.0,MN17,2004.0,76.0,40.74553,-73.987419
1302964-DCA,SP PLUS CORPORATION,,BA-1509237-2022,Garage & Parking Lot,Premises,Failed to Renew,10/24/2008,03/31/2025,Vehicle Capacity: 67; Bicycle Capacity: 7,2123217542,Complete Address,15608,RIVERSIDE DRIVE WEST,,,,,NEW YORK,NY,10032,Manhattan,112.0,7.0,1063279.0,1021347504.0,MN36,1002.0,241.0,40.83509,-73.94889
1346726-DCA,SP PLUS CORPORATION,,BA-1553020-2022,Garage & Parking Lot,Premises,Voided,03/08/2010,03/31/2025,Vehicle Capacity: 94; Bicycle Capacity: 9,2123217542,Complete Address,12610,QUEENS BOULEVARD,,,,,KEW GARDENS,NY,11415,Queens,409.0,29.0,4206486.0,4096310241.0,QN60,2001.0,216.0,40.71188,-73.825178
2020003-DCA,SP PLUS CORPORATION,,BA-1524713-2022,Garage & Parking Lot,Premises,Voided,03/25/2015,03/31/2025,Vehicle Capacity: 67; Bicycle Capacity: 6,2123217542,Complete Address,201,EAST   79 STREET,,,,,NEW YORK,NY,10075,Manhattan,108.0,5.0,1048509.0,1015250001.0,MN32,9000.0,138.0,40.77415,-73.956952
0695802-DCA,RIVERBAY CORPORATION,,BA-1469871-2022,Garage & Parking Lot,Premises,Active,04/14/1997,03/31/2025,Vehicle Capacity: 1361; Bicycle Capacity: 31,7183203391,Complete Address,99,ERSKINE PLACE,,,UNIT,,BRONX,NY,10475,Bronx,,,,,,,,40.86923918611389,-73.7768644283783
1100021-DCA,SP PLUS CORPORATION,,BA-1530805-2022,Garage & Parking Lot,Premises,Voided,01/17/2002,03/31/2025,Vehicle Capacity: 140; Bicycle Capacity: 14,2123217542,Complete Address,400,EAST   54 STREET,,,,,NEW YORK,NY,10022,Manhattan,106.0,4.0,1076281.0,1013657502.0,MN19,1000.0,8603.0,40.75631,-73.964165
1100022-DCA,SP PLUS CORPORATION,,BA-1554756-2022,Garage & Parking Lot,Premises,Voided,01/18/2002,03/31/2025,Vehicle Capacity: 225; Bicycle Capacity: 20,2123217542,Complete Address,425,EAST   52 STREET,,,,,NEW YORK,NY,10022,Manhattan,106.0,4.0,1040153.0,1013640014.0,MN19,2000.0,8603.0,40.75483,-73.964509
2022181-DCA,SP PLUS CORPORATION,,BA-1559699-2022,Garage & Parking Lot,Premises,Voided,05/05/2015,03/31/2025,Vehicle Capacity: 55; Bicycle Capacity: 5,2123217542,Complete Address,37,WEST   12 STREET,,,,,NEW YORK,NY,10011,Manhattan,102.0,2.0,1077930.0,1005760025.0,MN23,1001.0,63.0,40.73522,-73.995847
2040603-DCA,SP PLUS CORPORATION,,BA-1546722-2022,Garage & Parking Lot,Premises,Voided,07/18/2016,03/31/2025,Vehicle Capacity: 96; Bicycle Capacity: 10,2123217542,Complete Address,2311,30TH RD,,,,,ASTORIA,NY,11102,Queens,401.0,22.0,4620268.0,4005720015.0,QN71,1000.0,73.0,40.76833,-73.926891
